Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality
2022-01-01,S003,P0116,Furniture,West,119,104,118,116.84,65.0,20,Rainy,0,70.94,Winter
2022-01-01,S003,P0070,Electronics,East,77,70,64,70.6,30.39,15,Sunny,0,30.99,Winter
2022-01-01,S003,P0171,Electronics,East,164,85,72,80.94,62.56,20,Cloudy,0,60.62,Winter
2022-01-01,S003,P0175,Electronics,East,89,85,74,81.31,22.25,5,Sunny,0,21.93,Winter
2022-01-01,S003,P0046,Clothing,North,186,205,186,194.53,25.01,10,Rainy,0,22.95,Winter
2022-01-01,S003,P0067,Furniture,South,185,112,93,111.17,64.72,0,Sunny,0,64.59,Winter
2022-01-01,S003,P0183,Electronics,East,103,77,81,77.04,98.59,10,Cloudy,0,101.42,Winter
2022-01-01,S003,P0166,Groceries,North,101,113,101,136.95,95.54,10,Sunny,1,95.01,Winter
2022-01-01,S003,P0079,Furniture,North,189,111,104,137.49,58.71,0,Sunny,0,61.92,Winter
2022-01-01,S003,P0187,Clothing,North,109,129,108,159.1,27.36,0,Snowy,0,25.93,Winter
2022-01-01,S003,P0178,Clothing,East,173,100,102,101.0,66.43,5,Rainy,0,61.51,Winter
2022-01-01,S003,P0057,Clothing,East,115,115,101,139.64,11.53,20,Rainy,0,11.28,Winter
2022-01-01,S003,P0153,Furniture,North,148,110,124,147.72,99.15,0,Sunny,1,94.29,Winter
2022-01-01,S003,P0083,Toys,West,182,147,165,168.31,45.13,10,Cloudy,1,43.15,Winter
2022-01-01,S003,P0069,Clothing,South,185,176,152,167.4,46.02,0,Rainy,0,50.47,Winter
2022-01-01,S003,P0125,Clothing,East,280,217,247,267.28,45.3,0,Rainy,0,49.3,Winter
2022-01-01,S003,P0017,Toys,East,122,65,57,74.74,89.95,0,Rainy,1,82.69,Winter
2022-01-01,S003,P0149,Furniture,East,153,86,84,80.75,78.94,10,Sunny,0,81.22,Winter
2022-01-01,S003,P0094,Groceries,West,191,176,154,167.7,81.47,0,Rainy,0,83.67,Winter
2022-01-01,S003,P0066,Clothing,East,272,158,189,158.68,41.41,0,Snowy,0,42.86,Winter
2022-01-01,S003,P0061,Clothing,East,248,158,167,204.79,90.3,10,Cloudy,0,87.49,Winter
2022-01-01,S003,P0085,Electronics,West,128,129,122,120.78,87.71,5,Sunny,0,87.25,Winter
2022-01-01,S003,P0068,Electronics,West,147,68,68,88.76,61.25,0,Snowy,0,65.39,Winter
2022-01-01,S003,P0126,Clothing,West,297,248,222,234.96,69.97,10,Snowy,1,64.63,Winter
2022-01-01,S003,P0133,Clothing,West,273,185,183,215.09,81.51,0,Rainy,0,75.3,Winter
2022-01-01,S004,P0096,Toys,West,181,89,104,100.46,24.93,0,Cloudy,0,27.17,Winter
2022-01-01,S004,P0016,Clothing,East,209,144,131,145.87,52.48,5,Rainy,0,49.55,Winter
2022-01-01,S004,P0031,Electronics,West,135,81,67,83.06,78.49,0,Rainy,0,83.47,Winter
2022-01-01,S004,P0159,Electronics,East,72,66,65,73.55,15.53,10,Cloudy,0,14.55,Winter
2022-01-01,S004,P0129,Furniture,East,166,99,90,97.4,45.47,15,Snowy,0,46.8,Winter
2022-01-01,S004,P0116,Furniture,South,149,59,69,77.59,70.59,5,Cloudy,0,72.43,Winter
2022-01-01,S004,P0070,Electronics,West,113,94,97,96.92,25.89,20,Cloudy,0,26.8,Winter
2022-01-01,S004,P0171,Electronics,West,199,117,136,134.4,45.8,10,Cloudy,0,43.53,Winter
2022-01-01,S004,P0175,Electronics,West,179,75,80,86.09,46.5,5,Sunny,0,41.95,Winter
2022-01-01,S004,P0046,Clothing,East,192,143,138,144.67,51.39,0,Snowy,1,54.91,Winter
2022-01-01,S004,P0067,Furniture,East,163,104,124,107.76,81.19,0,Sunny,0,81.98,Winter
2022-01-01,S004,P0183,Electronics,East,82,65,64,71.17,34.26,10,Snowy,0,31.09,Winter
2022-01-01,S004,P0166,Groceries,North,96,51,46,67.32,87.31,5,Cloudy,0,84.52,Winter
2022-01-01,S004,P0079,Furniture,South,101,52,61,61.47,70.79,20,Rainy,0,73.13,Winter
2022-01-01,S004,P0187,Clothing,South,133,81,92,81.94,96.47,10,Sunny,0,99.56,Winter
2022-01-01,S004,P0178,Clothing,South,109,95,94,92.74,92.88,5,Snowy,0,99.98,Winter
2022-01-01,S004,P0057,Clothing,North,298,205,208,193.86,68.97,0,Rainy,0,65.89,Winter
2022-01-01,S004,P0153,Furniture,South,68,36,29,50.59,79.22,0,Rainy,0,80.63,Winter
2022-01-01,S004,P0083,Toys,West,201,110,120,122.15,26.58,5,Sunny,0,26.7,Winter
2022-01-01,S004,P0069,Clothing,East,146,71,66,93.81,33.18,10,Rainy,0,33.47,Winter
2022-01-01,S004,P0125,Clothing,West,221,156,137,200.83,93.16,15,Sunny,0,94.63,Winter
2022-01-01,S004,P0017,Toys,South,157,120,127,118.87,73.65,10,Rainy,0,78.48,Winter
2022-01-01,S004,P0149,Furniture,East,128,84,95,79.17,59.96,5,Cloudy,1,64.91,Winter
2022-01-01,S004,P0094,Groceries,North,197,118,132,128.19,38.2,10,Rainy,0,37.88,Winter
2022-01-01,S004,P0066,Clothing,North,232,186,193,191.29,64.73,10,Rainy,0,69.13,Winter
2022-01-01,S004,P0061,Clothing,East,192,116,109,126.45,55.46,5,Sunny,0,58.61,Winter
2022-01-01,S004,P0085,Electronics,West,227,112,129,104.11,68.38,10,Rainy,0,71.36,Winter
2022-01-01,S004,P0068,Electronics,East,123,53,59,58.27,71.84,5,Rainy,1,66.88,Winter
2022-01-01,S004,P0126,Clothing,South,195,157,153,192.59,24.47,10,Snowy,0,24.26,Winter
2022-01-01,S004,P0133,Clothing,North,207,127,139,159.9,50.4,0,Sunny,0,46.59,Winter
2022-01-01,S005,P0096,Toys,South,108,55,50,54.79,45.21,5,Rainy,0,47.02,Winter
2022-01-01,S005,P0016,Clothing,West,165,134,114,132.25,86.69,15,Rainy,0,89.09,Winter
2022-01-01,S005,P0031,Electronics,East,157,138,129,127.2,28.13,20,Rainy,0,26.23,Winter
2022-01-01,S005,P0159,Electronics,West,152,78,79,105.91,22.98,15,Snowy,0,23.07,Winter
2022-01-01,S005,P0129,Furniture,South,115,120,103,155.88,66.5,10,Rainy,0,61.03,Winter
2022-01-01,S005,P0116,Furniture,West,151,130,134,136.38,46.24,5,Rainy,0,45.89,Winter
2022-01-01,S005,P0070,Electronics,North,111,83,96,104.44,20.78,5,Rainy,0,21.58,Winter
2022-01-01,S005,P0171,Electronics,North,147,85,81,97.52,81.45,15,Rainy,0,88.74,Winter
2022-01-01,S005,P0175,Electronics,East,98,71,70,87.74,31.73,5,Rainy,0,30.35,Winter
2022-01-01,S005,P0046,Clothing,West,129,70,76,75.53,10.49,0,Sunny,0,10.9,Winter
2022-01-01,S005,P0067,Furniture,West,220,114,130,126.14,87.41,0,Cloudy,0,82.78,Winter
2022-01-01,S005,P0183,Electronics,South,142,129,109,136.89,84.64,5,Snowy,0,83.54,Winter
2022-01-01,S005,P0166,Groceries,North,123,64,58,70.64,76.41,10,Snowy,0,79.36,Winter
2022-01-01,S005,P0079,Furniture,East,156,91,83,91.46,72.54,10,Rainy,0,74.06,Winter
2022-01-01,S005,P0187,Clothing,North,180,93,111,117.91,61.35,20,Cloudy,0,56.11,Winter
2022-01-01,S005,P0178,Clothing,East,239,225,216,210.35,84.59,10,Snowy,0,85.8,Winter
2022-01-01,S005,P0057,Clothing,East,206,133,123,140.04,80.36,0,Cloudy,0,76.67,Winter
2022-01-01,S005,P0153,Furniture,North,110,80,76,101.31,59.64,20,Rainy,0,64.4,Winter
2022-01-01,S005,P0083,Toys,North,193,124,106,135.08,15.12,5,Snowy,0,16.11,Winter
2022-01-01,S005,P0069,Clothing,North,156,118,118,141.63,75.08,5,Snowy,0,78.52,Winter
2022-01-01,S005,P0125,Clothing,West,189,149,128,140.83,50.78,5,Cloudy,0,53.96,Winter
2022-01-01,S005,P0017,Toys,North,115,50,57,65.19,77.77,0,Snowy,0,72.6,Winter
2022-01-01,S005,P0149,Furniture,West,88,89,78,88.72,49.04,20,Snowy,0,49.93,Winter
2022-01-01,S005,P0094,Groceries,North,189,108,93,119.17,45.97,10,Sunny,0,48.84,Winter
2022-01-01,S005,P0066,Clothing,South,250,189,215,189.77,61.72,20,Snowy,1,62.36,Winter
2022-01-01,S005,P0061,Clothing,West,215,140,154,175.4,68.21,10,Cloudy,0,62.71,Winter
2022-01-01,S005,P0085,Electronics,South,96,99,85,102.66,59.28,15,Sunny,0,60.0,Winter
2022-01-01,S005,P0068,Electronics,South,88,63,57,62.16,83.76,10,Snowy,0,81.38,Winter
2022-01-01,S005,P0126,Clothing,East,164,118,131,141.35,58.17,20,Snowy,0,63.69,Winter
2022-01-01,S005,P0133,Clothing,East,152,68,72,83.63,14.82,20,Sunny,1,14.92,Winter
2022-01-02,S001,P0096,Toys,South,91,58,69,82.05,24.09,0,Snowy,0,22.42,Winter
2022-01-02,S001,P0016,Clothing,West,84,74,82,93.57,14.25,5,Cloudy,0,15.02,Winter
2022-01-02,S001,P0031,Electronics,West,185,117,129,114.03,51.59,10,Rainy,0,53.66,Winter
2022-01-02,S001,P0159,Electronics,North,125,36,37,43.53,99.44,15,Snowy,0,106.12,Winter
2022-01-02,S001,P0129,Furniture,North,115,40,44,51.24,14.51,5,Snowy,0,13.52,Winter
2022-01-02,S001,P0116,Furniture,East,147,62,54,74.1,55.54,5,Sunny,0,51.07,Winter
2022-01-02,S001,P0070,Electronics,West,217,158,152,151.14,72.32,15,Snowy,1,77.96,Winter
2022-01-02,S001,P0171,Electronics,West,103,95,91,107.01,42.67,20,Rainy,0,45.22,Winter
2022-01-02,S001,P0175,Electronics,East,131,81,85,112.19,46.68,15,Sunny,1,47.4,Winter
2022-01-02,S001,P0046,Clothing,South,89,68,61,75.53,69.87,5,Snowy,0,65.16,Winter
2022-01-02,S001,P0067,Furniture,South,72,53,52,56.13,99.97,20,Sunny,0,98.12,Winter
2022-01-02,S001,P0183,Electronics,South,146,86,98,90.53,30.6,15,Sunny,0,30.65,Winter
2022-01-02,S001,P0166,Groceries,South,134,124,121,160.28,92.2,5,Rainy,0,95.32,Winter
2022-01-02,S001,P0079,Furniture,East,59,38,35,46.88,25.43,10,Snowy,0,27.16,Winter
2022-01-02,S001,P0187,Clothing,North,169,168,162,168.79,17.63,0,Sunny,0,18.87,Winter
2022-01-02,S001,P0178,Clothing,North,159,122,101,172.28,15.79,10,Sunny,1,14.77,Winter
2022-01-02,S001,P0057,Clothing,West,156,73,70,79.0,12.68,15,Rainy,1,12.62,Winter
2022-01-02,S001,P0153,Furniture,North,129,75,70,105.05,22.09,10,Snowy,0,22.04,Winter
2022-01-02,S001,P0083,Toys,South,209,125,141,125.31,24.69,5,Cloudy,0,25.47,Winter
2022-01-02,S001,P0069,Clothing,East,209,152,141,139.14,27.38,10,Rainy,1,25.43,Winter
2022-01-02,S001,P0125,Clothing,West,149,97,110,119.74,10.35,5,Rainy,0,9.93,Winter
2022-01-02,S001,P0017,Toys,West,110,106,92,97.66,54.99,0,Sunny,0,60.33,Winter
2022-01-02,S001,P0149,Furniture,North,191,99,98,135.65,82.58,15,Rainy,0,87.42,Winter
2022-01-02,S001,P0094,Groceries,North,115,82,71,84.38,76.69,0,Rainy,0,78.37,Winter
2022-01-02,S001,P0066,Clothing,North,169,117,134,125.05,22.32,20,Rainy,0,23.46,Winter
2022-01-02,S001,P0061,Clothing,East,168,120,118,118.52,52.87,0,Snowy,0,56.6,Winter
2022-01-02,S001,P0085,Electronics,North,105,36,36,35.84,77.42,0,Cloudy,0,75.29,Winter
2022-01-02,S001,P0068,Electronics,East,147,82,97,105.15,56.41,0,Sunny,0,61.41,Winter
2022-01-02,S001,P0126,Clothing,East,173,102,107,105.09,63.39,0,Snowy,0,63.71,Winter
2022-01-02,S001,P0133,Clothing,North,194,233,189,265.34,15.2,0,Cloudy,0,15.0,Winter
2022-01-02,S002,P0096,Toys,East,142,79,83,81.12,86.38,10,Snowy,0,82.06,Winter
2022-01-02,S002,P0016,Clothing,West,136,162,134,174.09,89.42,5,Snowy,0,82.3,Winter
2022-01-02,S002,P0031,Electronics,South,142,115,105,110.87,47.63,20,Cloudy,0,43.42,Winter
2022-01-02,S002,P0159,Electronics,South,118,54,45,71.52,59.28,10,Sunny,0,64.47,Winter
2022-01-02,S002,P0129,Furniture,West,92,101,81,103.85,16.97,20,Sunny,0,16.24,Winter
2022-01-02,S002,P0116,Furniture,South,182,91,98,94.6,55.45,10,Snowy,0,52.35,Winter
2022-01-02,S002,P0070,Electronics,East,49,26,29,26.78,55.28,10,Snowy,0,53.63,Winter
2022-01-02,S002,P0171,Electronics,South,102,93,87,84.75,19.27,10,Snowy,0,18.24,Winter
2022-01-02,S002,P0175,Electronics,South,153,103,101,96.05,54.01,0,Cloudy,0,50.01,Winter
2022-01-02,S002,P0046,Clothing,South,201,140,112,147.77,12.75,20,Cloudy,0,13.96,Winter
2022-01-02,S002,P0067,Furniture,South,97,72,71,74.57,37.43,5,Snowy,0,37.21,Winter
2022-01-02,S002,P0183,Electronics,West,148,90,104,82.83,52.9,0,Sunny,0,48.39,Winter
2022-01-02,S002,P0166,Groceries,East,112,75,81,105.52,86.48,0,Snowy,0,83.74,Winter
2022-01-02,S002,P0079,Furniture,South,139,123,132,130.99,97.92,10,Rainy,0,103.51,Winter
2022-01-02,S002,P0187,Clothing,East,232,122,138,113.96,66.47,5,Cloudy,0,65.42,Winter
2022-01-02,S002,P0178,Clothing,North,188,105,118,101.46,92.19,5,Rainy,0,97.78,Winter
2022-01-02,S002,P0057,Clothing,North,211,134,131,159.89,22.69,10,Rainy,0,22.7,Winter
2022-01-02,S002,P0153,Furniture,West,118,65,66,71.77,18.52,5,Sunny,0,17.31,Winter
2022-01-02,S002,P0083,Toys,North,188,125,132,162.02,27.1,15,Rainy,0,28.44,Winter
2022-01-02,S002,P0069,Clothing,East,162,113,114,140.74,51.89,5,Sunny,0,54.23,Winter
2022-01-02,S002,P0125,Clothing,South,139,92,95,107.74,57.3,10,Rainy,0,62.48,Winter
2022-01-02,S002,P0017,Toys,East,102,101,97,112.36,19.04,20,Cloudy,0,17.97,Winter
2022-01-02,S002,P0149,Furniture,South,152,68,65,75.3,31.75,0,Rainy,0,29.68,Winter
2022-01-02,S002,P0094,Groceries,East,162,80,94,106.62,77.36,10,Cloudy,0,73.17,Winter
2022-01-02,S002,P0066,Clothing,West,189,102,109,138.24,80.8,0,Rainy,0,81.65,Winter
2022-01-02,S002,P0061,Clothing,North,160,159,157,159.93,54.81,10,Snowy,0,60.15,Winter
2022-01-02,S002,P0085,Electronics,East,93,17,20,22.48,49.82,15,Cloudy,0,52.68,Winter
2022-01-02,S002,P0068,Electronics,South,55,51,51,51.97,41.03,15,Sunny,0,39.64,Winter
2022-01-02,S002,P0126,Clothing,North,251,144,163,131.75,99.39,5,Cloudy,0,109.3,Winter
2022-01-02,S002,P0133,Clothing,North,204,152,154,159.5,15.87,10,Sunny,0,15.12,Winter
2022-01-02,S003,P0096,Toys,North,172,126,109,132.35,51.31,10,Sunny,0,54.24,Winter
2022-01-02,S003,P0016,Clothing,North,147,103,113,101.38,64.25,0,Cloudy,0,66.8,Winter
2022-01-02,S003,P0031,Electronics,East,113,113,111,128.52,94.8,5,Snowy,0,99.29,Winter
2022-01-02,S003,P0159,Electronics,South,203,97,105,129.76,24.11,10,Rainy,0,22.31,Winter
2022-01-02,S003,P0129,Furniture,South,151,97,95,121.71,67.35,15,Cloudy,0,66.91,Winter
2022-01-02,S003,P0116,Furniture,North,155,88,101,111.16,66.85,5,Sunny,0,69.24,Winter
2022-01-02,S003,P0070,Electronics,East,95,76,64,99.63,39.91,10,Sunny,0,36.65,Winter
2022-01-02,S003,P0171,Electronics,North,224,113,129,127.28,83.41,0,Cloudy,0,90.4,Winter
2022-01-02,S003,P0175,Electronics,East,49,52,48,75.05,12.92,5,Sunny,0,11.66,Winter
2022-01-02,S003,P0046,Clothing,South,210,107,127,119.12,47.28,10,Sunny,1,45.58,Winter
2022-01-02,S003,P0067,Furniture,North,68,54,49,65.74,22.76,15,Rainy,0,22.4,Winter
2022-01-02,S003,P0183,Electronics,South,135,68,61,81.03,52.44,0,Cloudy,0,55.0,Winter
2022-01-02,S003,P0166,Groceries,West,111,106,91,127.97,77.17,10,Rainy,0,75.79,Winter
2022-01-02,S003,P0079,Furniture,South,91,46,49,66.05,80.31,10,Cloudy,0,83.71,Winter
2022-01-02,S003,P0187,Clothing,East,110,103,105,127.75,45.77,5,Rainy,0,42.93,Winter
2022-01-02,S003,P0178,Clothing,West,88,77,88,89.91,76.56,5,Sunny,0,72.11,Winter
2022-01-02,S003,P0057,Clothing,North,175,77,84,92.87,76.41,0,Rainy,1,76.11,Winter
2022-01-02,S003,P0153,Furniture,West,141,70,76,65.93,66.82,0,Sunny,0,69.53,Winter
2022-01-02,S003,P0083,Toys,East,140,94,86,104.52,51.56,0,Sunny,0,54.77,Winter
2022-01-02,S003,P0069,Clothing,West,271,245,201,239.43,89.52,0,Sunny,0,84.54,Winter
2022-01-02,S003,P0125,Clothing,North,150,98,90,114.46,68.35,20,Cloudy,1,70.88,Winter
2022-01-02,S003,P0017,Toys,South,156,85,82,80.7,49.45,10,Snowy,0,46.31,Winter
2022-01-02,S003,P0149,Furniture,North,106,67,76,92.22,16.34,20,Rainy,0,16.88,Winter
2022-01-02,S003,P0094,Groceries,East,91,42,45,42.43,86.95,5,Snowy,0,83.87,Winter
2022-01-02,S003,P0066,Clothing,West,105,67,77,77.77,36.15,10,Rainy,0,33.54,Winter
2022-01-02,S003,P0061,Clothing,South,223,132,128,169.2,56.29,15,Sunny,1,57.03,Winter
2022-01-02,S003,P0085,Electronics,South,129,96,82,130.57,87.61,10,Sunny,0,90.12,Winter
2022-01-02,S003,P0068,Electronics,South,183,71,84,95.31,63.46,0,Rainy,0,65.14,Winter
2022-01-02,S003,P0126,Clothing,North,166,102,122,134.94,76.76,0,Snowy,0,80.6,Winter
2022-01-02,S003,P0133,Clothing,North,245,194,196,186.0,13.1,5,Cloudy,0,12.31,Winter
2022-01-02,S004,P0096,Toys,North,166,63,67,82.45,50.69,0,Sunny,0,48.05,Winter
2022-01-02,S004,P0016,Clothing,East,162,99,91,97.88,29.18,20,Cloudy,0,30.6,Winter
2022-01-02,S004,P0031,Electronics,North,155,57,58,59.18,62.73,5,Rainy,0,57.17,Winter
2022-01-02,S004,P0159,Electronics,North,134,73,83,67.65,40.16,10,Rainy,0,36.66,Winter
2022-01-02,S004,P0129,Furniture,South,185,103,98,102.7,96.37,5,Cloudy,0,101.06,Winter
2022-01-02,S004,P0116,Furniture,East,257,153,175,165.07,53.62,10,Sunny,0,49.86,Winter
2022-01-02,S004,P0070,Electronics,West,131,121,103,166.51,27.33,10,Snowy,0,27.28,Winter
2022-01-02,S004,P0171,Electronics,North,164,69,81,84.49,44.66,5,Rainy,0,49.12,Winter
2022-01-02,S004,P0175,Electronics,West,186,106,109,98.81,15.47,10,Sunny,0,15.76,Winter
2022-01-02,S004,P0046,Clothing,West,157,142,124,151.88,61.28,10,Rainy,0,64.79,Winter
2022-01-02,S004,P0067,Furniture,West,107,87,94,82.55,93.63,0,Cloudy,1,90.78,Winter
2022-01-02,S004,P0183,Electronics,South,205,112,118,110.9,26.79,5,Snowy,0,27.9,Winter
2022-01-02,S004,P0166,Groceries,South,96,70,73,69.63,67.66,10,Rainy,0,64.95,Winter
2022-01-02,S004,P0079,Furniture,East,215,116,121,111.32,98.23,5,Sunny,0,91.18,Winter
2022-01-02,S004,P0187,Clothing,North,217,148,120,148.11,51.83,0,Snowy,0,54.7,Winter
2022-01-02,S004,P0178,Clothing,North,151,77,82,100.94,69.12,20,Cloudy,0,63.3,Winter
2022-01-02,S004,P0057,Clothing,West,155,151,125,186.59,19.35,10,Cloudy,1,19.26,Winter
2022-01-02,S004,P0153,Furniture,West,120,69,60,68.67,53.98,10,Cloudy,0,51.32,Winter
2022-01-02,S004,P0083,Toys,East,197,112,113,145.77,26.23,15,Cloudy,1,23.73,Winter
2022-01-02,S004,P0069,Clothing,South,319,227,248,208.88,66.21,10,Cloudy,0,64.22,Winter
2022-01-02,S004,P0125,Clothing,South,189,130,111,173.36,14.35,10,Snowy,0,13.29,Winter
2022-01-02,S004,P0017,Toys,North,163,106,85,109.93,91.16,5,Sunny,0,90.51,Winter
2022-01-02,S004,P0149,Furniture,South,35,40,35,46.8,47.39,0,Rainy,0,46.55,Winter
2022-01-02,S004,P0094,Groceries,East,173,76,87,98.58,90.19,5,Sunny,0,93.23,Winter
2022-01-02,S004,P0066,Clothing,West,139,104,87,130.41,44.97,5,Snowy,0,47.44,Winter
